1,,,"Cliffchat, mocking",m,267.99,510.2,16,Purple,3/21/20,y,n
2,,,Fisher,f,851.98,715.95,30,Puce,12/2/20,y,n
3,,,"Barbet, levaillant's",m,755.17,495.86,3,Goldenrod,1/8/21,y,y
4,,,White-browed owl,f,196.08,858.62,7,Indigo,5/8/19,n,y
5,,,"Cockatoo, roseate",m,593.95,541.05,29,Khaki,2/4/21,n,n
6,,,Civet cat,f,275.24,823,23,Purple,9/5/19,n,n
7,,,Python (unidentified),f,255.94,588.4,17,Indigo,4/27/20,n,y
8,,,"Dove, little brown",f,962.02,763.22,4,Violet,5/10/21,y,y
9,,,"Waxbill, violet-eared",m,372.52,307.8,22,Violet,3/10/19,n,n
10,,,"Goose, canada",m,111.2,727.19,14,Violet,1/2/21,y,n
