1,Media Relations,27482771.46,y,n,a nunc. In at pede.
2,Customer Relations,37456591.79,y,n,"scelerisque sed, sapien. Nunc"
3,Asset Management,20260101.89,y,n,justo eu arcu.
4,Customer Relations,92326606.05,y,n,"pharetra, felis eget varius ultrices,"
5,Payroll,15249609.3,y,n,Fusce
6,Payroll,72079005.45,n,y,Nulla tempor augue ac ipsum.
7,Sales and Marketing,26718251.97,n,y,ultrices
8,Sales and Marketing,71121304.79,n,y,nulla. In tincidunt
9,Advertising,42838869.1,n,y,nibh. Phasellus nulla.
10,Quality Assurance,88574379.04,n,y,Quisque ac libero
